,State,County,% Adults with Obesity,Food Environment Index,% Physically Inactive,% Limited Access to Healthy Foods,% Frequent Physical Distress,% Frequent Mental Distress,% With Access to Exercise Opportunities,Life Expectancy,Median Household Income,% Uninsured Adults,% Excessive Drinking,POPESTIMATE2022
602,Idaho,Power,37.0,8.5,25.0,3.6391025132799495,11.0,14.0,71.0,78.1,57322.0,6.754935384127488,17.0,12613.0
603,Idaho,Shoshone,40.0,7.2,27.0,1.9587475886630064,13.0,16.0,92.0,75.9,47699.0,3.9620121679774445,18.0,26956.0
604,Idaho,Teton,33.0,9.3,18.0,2.8135845314823995,9.0,13.0,78.0,83.5,84015.0,18.096182449181953,19.0,8068.0
605,Idaho,Twin Falls,33.0,8.3,22.0,25.98487011133314,11.0,14.0,71.0,77.2,57487.0,56.97973165857836,16.0,14012.0
606,Idaho,Valley,27.0,8.2,19.0,5.931122448979592,9.0,14.0,69.0,85.0,69425.0,6.879783163265306,19.0,12544.0
607,Idaho,Washington,38.0,8.0,25.0,0.7236168032786885,12.0,15.0,66.0,78.2,51067.0,0.941342213114754,17.0,93696.0
610,Illinois,Alexander,44.0,4.5,33.0,0.01851052357838543,13.0,15.0,54.0,70.5,41816.0,0.002034647503678261,15.0,12582032.0
611,Illinois,Bond,38.0,7.7,25.0,2.481266898416377,10.0,14.0,62.0,78.4,57287.0,1.0320587099266125,17.0,64725.0
612,Illinois,Boone,36.0,8.2,25.0,82.9971181556196,9.0,13.0,81.0,79.3,71557.0,65.72663647591601,18.0,4858.0
613,Illinois,Brown,40.0,8.1,28.0,4.334178437764096,11.0,13.0,68.0,78.9,51294.0,0.5613908004346252,17.0,16566.0
614,Illinois,Bureau,35.0,7.7,25.0,6.445422733942883,10.0,14.0,74.0,78.1,61431.0,2.9499191029837832,18.0,53154.0
615,Illinois,Calhoun,35.0,8.3,23.0,4.233807266982622,9.0,14.0,2.0,80.4,63586.0,3.53870458135861,19.0,6330.0
616,Illinois,Carroll,37.0,8.3,24.0,2.101864262215182,9.0,14.0,57.0,78.1,54450.0,1.7485073717558184,18.0,32828.0
617,Illinois,Cass,38.0,8.4,29.0,10.6651376146789,11.0,14.0,17.0,76.4,60961.0,20.61926605504587,17.0,4360.0
618,Illinois,Champaign,31.0,8.2,22.0,62.334986154935926,9.0,12.0,88.0,80.1,58787.0,74.7053899156417,16.0,15529.0
619,Illinois,Christian,37.0,8.5,26.0,5.3488188354270365,10.0,14.0,66.0,76.5,52500.0,10.721339969977087,18.0,12657.0
620,Illinois,Clark,34.0,7.8,24.0,0.7727241916898258,9.0,14.0,61.0,76.1,58741.0,0.3263258804504653,19.0,206542.0
621,Illinois,Clay,38.0,7.3,27.0,2.317860988156478,11.0,15.0,45.0,76.5,51042.0,2.0098097858595527,18.0,33436.0
622,Illinois,Clinton,36.0,8.8,23.0,9.278350515463918,9.0,13.0,60.0,80.2,77272.0,9.869328255302385,19.0,15229.0
623,Illinois,Coles,37.0,6.9,25.0,42.98306124013183,10.0,14.0,84.0,77.7,47693.0,22.01272323139419,17.0,13047.0
625,Illinois,Crawford,37.0,8.4,25.0,1.0359563171752926,10.0,14.0,58.0,78.9,59128.0,1.629472957223637,18.0,46334.0
626,Illinois,Cumberland,35.0,8.9,24.0,0.00031315493418657614,10.0,14.0,20.0,79.7,69740.0,0.009805663876717165,18.0,5109292.0
627,Illinois,DeKalb,36.0,7.1,23.0,82.7470867501079,9.0,13.0,82.0,78.7,67081.0,30.63767803193785,17.0,18536.0
628,Illinois,De Witt,35.0,8.8,24.0,3.4579620302208443,10.0,14.0,75.0,74.9,64325.0,6.57690817512592,18.0,10324.0
629,Illinois,Douglas,36.0,8.7,26.0,0.738287173756884,10.0,14.0,81.0,79.2,65447.0,1.540426211190039,18.0,100232.0
631,Illinois,Edgar,36.0,7.2,25.0,13.090356871678054,10.0,14.0,57.0,75.8,56772.0,3.6395849152113393,18.0,19755.0
632,Illinois,Edwards,37.0,7.7,25.0,0.05581490301346182,10.0,14.0,13.0,76.3,53779.0,0.02910193386694118,18.0,920901.0
633,Illinois,Effingham,35.0,8.4,23.0,9.66348201789083,9.0,14.0,59.0,77.7,69988.0,9.827785553459503,18.0,16433.0
634,Illinois,Fayette,39.0,6.5,27.0,67.17180036237852,11.0,14.0,44.0,78.1,52610.0,18.053039038049747,18.0,6071.0
635,Illinois,Ford,37.0,7.9,25.0,3.187181354697742,10.0,14.0,69.0,76.3,57483.0,1.8994901675163873,18.0,34325.0
636,Illinois,Franklin,38.0,6.7,27.0,14.916686223891103,11.0,15.0,72.0,74.9,49510.0,9.129312367988735,17.0,21305.0
637,Illinois,Fulton,38.0,8.0,26.0,12.657559061061214,10.0,14.0,58.0,75.9,50978.0,11.895237376405767,18.0,13249.0
638,Illinois,Gallatin,39.0,4.5,28.0,4.4814993824177005,12.0,15.0,36.0,73.2,48424.0,0.6712851082111594,17.0,37242.0
639,Illinois,Greene,37.0,8.6,25.0,0.26649707761727387,10.0,14.0,44.0,76.7,53394.0,1.8170255292086854,19.0,33021.0
640,Illinois,Grundy,35.0,8.6,22.0,57.03398558187436,9.0,13.0,82.0,77.2,83254.0,47.209062821833164,19.0,4855.0
641,Illinois,Hamilton,36.0,8.0,25.0,2.454724916316196,10.0,14.0,48.0,77.6,55409.0,3.0555317140159644,18.0,11651.0
642,Illinois,Hancock,35.0,7.2,24.0,5.084745762711865,9.0,14.0,52.0,78.3,56700.0,1.3612111385531946,18.0,53041.0
643,Illinois,Hardin,37.0,7.3,27.0,3.356713426853707,11.0,15.0,74.0,73.8,47144.0,2.3296593186372743,18.0,7984.0
644,Illinois,Henderson,35.0,8.9,23.0,0.20876826722338201,9.0,14.0,30.0,77.6,59415.0,1.7803293899327302,18.0,17244.0
646,Illinois,Iroquois,36.0,7.7,27.0,51.796455860835636,10.0,14.0,39.0,75.9,60736.0,25.816940334904892,18.0,6151.0
647,Illinois,Jackson,39.0,6.4,27.0,18.82318924389186,10.0,14.0,79.0,77.3,43334.0,7.476403891034511,16.0,48419.0
648,Illinois,Jasper,35.0,8.3,24.0,1.5109734446417105,9.0,14.0,43.0,81.2,59069.0,1.72250972689155,18.0,26473.0
649,Illinois,Jefferson,37.0,7.1,26.0,7.147879962749681,10.0,14.0,52.0,75.3,53294.0,2.995229678620978,17.0,52617.0
650,Illinois,Jersey,34.0,8.6,22.0,9.85670864090317,9.0,13.0,66.0,76.1,68675.0,9.22709509335649,19.0,9212.0
651,Illinois,Jo Daviess,37.0,8.4,22.0,2.3626373626373627,9.0,13.0,72.0,80.5,67839.0,2.582417582417582,19.0,36400.0
652,Illinois,Johnson,37.0,8.3,26.0,1.5532335498446765,10.0,14.0,66.0,77.0,57073.0,2.005083309799492,18.0,21246.0
654,Illinois,Kankakee,41.0,8.0,26.0,51.44608026305956,10.0,14.0,80.0,76.6,63880.0,45.74396532396682,17.0,13381.0
655,Illinois,Kendall,35.0,9.1,21.0,1.3691650038313283,7.0,12.0,92.0,81.2,100483.0,1.0616863289652303,18.0,514182.0
656,Illinois,Knox,38.0,7.3,27.0,4.346022588004601,11.0,14.0,74.0,76.3,47559.0,2.041027961611705,17.0,106074.0
657,Illinois,Lake,31.0,8.8,22.0,30.506214755125534,8.0,12.0,98.0,81.0,95895.0,26.912876856047912,16.0,137254.0
658,Illinois,LaSalle,36.0,7.7,25.0,17.6171875,10.0,14.0,73.0,76.5,64447.0,10.818256578947368,18.0,48640.0
659,Illinois,Lawrence,39.0,7.5,27.0,0.18726644574490586,11.0,14.0,39.0,75.1,46525.0,0.08178805612352817,17.0,709150.0
