State,County,% Adults with Obesity,Food Environment Index,% Physically Inactive,# Limited Access to Healthy Foods,% Frequent Physical Distress,% Frequent Mental Distress,% With Access to Exercise Opportunities,Life Expectancy,Median Household Income,# Uninsured Adults,% Excessive Drinking,,,,STNAME,CTYNAME,POPESTIMATE2022,,TRUE
Alaska,Haines,31,6.3,21,253,9,13,97,84.4,63155,205,22,,,,Alaska,Dillingham Census,4723,,TRUE
Alaska,Hoonah-Angoon,36,4.8,23,669,11,14,42,84.3,56555,266,23,,,,Alaska,Fairbanks North Star Borough,95356,,TRUE
Alaska,Juneau,27,8.7,18,613,8,12,100,81.1,89922,2341,21,,,,Alaska,Haines Borough,2056,,TRUE
Alaska,Kenai Peninsula,32,7.4,23,4359,9,13,74,79.2,71111,5485,22,,,,Alaska,Hoonah-Angoon Census,2287,,TRUE
Alaska,Ketchikan Gateway,34,8.3,21,54,9,13,81,80.2,73260,1339,21,,,,Alaska,Juneau City and Borough,31685,,TRUE
Alaska,Kodiak Island,30,7.6,22,1560,8,11,99,80.5,80863,1753,20,,,,Alaska,Kenai Peninsula Borough,60690,,TRUE
Alaska,Kusilvak,43,,40,,21,20,100,67.7,38203,1186,17,,,,Alaska,Ketchikan Gateway Borough,13741,,TRUE
Alaska,Lake and Peninsula,37,3.6,26,679,13,15,17,,51205,220,20,,,,Alaska,Kodiak Island Borough,12720,,TRUE
Alaska,Matanuska-Susitna,34,7.7,23,7286,9,13,47,79,80164,9819,21,,,,Alaska,Kusilvak Census,8278,,TRUE
Alaska,Nome,35,5.9,30,1442,14,16,47,70.3,65578,1201,20,,,,Alaska,Lake and Peninsula Borough,1381,,TRUE
Alaska,North Slope,38,7.9,27,670,11,13,7,76.2,95041,989,22,,,,Alaska,Matanuska-Susitna Borough,113325,,TRUE
Alaska,Northwest Arctic,42,4.2,32,2198,15,16,3,71.3,67586,1008,21,,,,Alaska,Nome Census,9835,,TRUE
Alaska,Petersburg,31,8.5,21,25,9,13,16,80.6,71878,331,22,,,,Alaska,North Slope Borough,10805,,TRUE
Alaska,Prince of Wales-Hyder,34,6.6,26,491,12,15,32,76.4,56226,844,21,,,,Alaska,Northwest Arctic Borough,7423,,TRUE
Alaska,Sitka,31,8.1,19,555,8,12,100,80.9,78248,802,21,,,,Alaska,Petersburg Borough,3360,,TRUE
Alaska,Skagway,31,7.4,20,1,9,12,100,,65712,125,23,,,,Alaska,Prince of Wales-Hyder Census,5650,,TRUE
Alaska,Southeast Fairbanks,33,7.4,21,695,9,13,27,77.2,68347,801,21,,,,Alaska,Sitka City and Borough,8382,,TRUE
Alaska,Valdez-Cordova,,7.7,,997,,,72,78,,942,,,,,Alaska,Skagway Municipality,1081,,TRUE
Alaska,Wrangell,33,8,22,119,10,14,100,79.2,64732,278,21,,,,Alaska,Southeast Fairbanks Census,7021,,TRUE
Alaska,Yakutat,34,8.7,24,1,11,14,63,,73014,93,21,,,,Alaska,Wrangell City and Borough,2070,,TRUE
Alaska,Yukon-Koyukuk,37,2.7,28,2418,14,16,19,72.5,44934,754,21,,,,Alaska,Yakutat City and Borough,700,,TRUE
Arizona,,32,6.4,22,554825,10,14,86,79.1,68967,654953,17,,,,Alaska,Yukon-Koyukuk Census,5179,,FALSE
Arizona,Apache,36,2.7,27,25275,18,21,18,70.1,41002,9177,16,,,,Arizona,Arizona,7359197,,TRUE
Arizona,Cochise,31,6.7,24,20429,11,15,68,78.2,55748,9232,17,,,,Arizona,Apache,65432,,TRUE
Arizona,Coconino,28,6.5,19,17901,11,16,81,78,63829,14735,19,,,,Arizona,Cochise,125663,,TRUE
Arizona,Gila,32,6.5,27,5904,13,18,88,72.7,52665,4185,20,,,,Arizona,Coconino,144060,,TRUE
Arizona,Graham,33,6.4,25,5860,12,16,57,77,52644,3484,19,,,,Arizona,Gila,53922,,TRUE
Arizona,Greenlee,33,7.2,24,1185,11,15,71,79.9,71669,591,18,,,,Arizona,Graham,38779,,TRUE
Arizona,La Paz,36,4.6,30,5427,13,17,43,77.7,44330,2029,18,,,,Arizona,Greenlee,9302,,TRUE
Arizona,Maricopa,31,8,22,210290,10,14,93,79.6,76230,416271,18,,,,Arizona,La Paz,16506,,TRUE
Arizona,Mohave,36,5.6,29,37430,12,18,57,75.5,48169,17646,22,,,,Arizona,Maricopa,4551524,,TRUE
Arizona,Navajo,34,4.3,27,27938,15,19,60,71.4,49057,11941,16,,,,Arizona,Mohave,220816,,TRUE
Arizona,Pima,29,7.3,23,87525,10,15,87,78.5,60604,83234,19,,,,Arizona,Navajo,108650,,TRUE
Arizona,Pinal,37,7.1,25,53409,11,15,64,81.8,70835,36487,18,,,,Arizona,Pima,1057597,,TRUE
Arizona,Santa Cruz,35,6.1,29,8689,13,15,65,81.2,49216,5692,15,,,,Arizona,Pinal,464154,,TRUE
Arizona,Yavapai,28,6.9,21,27392,10,16,85,78.4,57676,17959,18,,,,Arizona,Santa Cruz,48759,,TRUE
Arizona,Yuma,41,6.5,29,20170,12,15,81,80.5,55991,22290,16,,,,Arizona,Yavapai,246191,,TRUE
Arkansas,,37,4.8,29,292058,13,19,63,75.5,52577,217706,18,,,,Arizona,Yuma,207842,,FALSE
Arkansas,Arkansas,38,5.4,33,4500,13,18,76,72.9,50928,963,16,,,,Arkansas,Arkansas,3045637,,TRUE
Arkansas,Ashley,40,6.5,36,2064,14,19,44,73.8,44030,1347,16,,,,Arkansas,Arkansas,16512,,TRUE
Arkansas,Baxter,33,7.1,27,2333,12,17,61,76.1,45116,2440,19,,,,Arkansas,Ashley,18354,,TRUE
Arkansas,Benton,30,8,24,14805,10,15,72,79.5,78974,21937,19,,,,Arkansas,Baxter,42435,,TRUE
Arkansas,Boone,37,6.8,29,3259,12,17,42,76.1,48700,2705,19,,,,Arkansas,Benton,302863,,TRUE
Arkansas,Bradley,43,6.8,33,1175,14,17,49,72.2,40454,926,15,,,,Arkansas,Boone,38284,,TRUE
Arkansas,Calhoun,37,5.7,30,1325,13,17,7,72.9,49977,328,17,,,,Arkansas,Bradley,10135,,TRUE
Arkansas,Carroll,35,7.3,29,1881,12,17,54,76.1,49225,2677,17,,,,Arkansas,Calhoun,4695,,TRUE
Arkansas,Chicot,48,5,39,1900,16,18,56,72.2,34857,500,14,,,,Arkansas,Carroll,28742,,TRUE
Arkansas,Clark,39,6.3,30,2462,13,17,45,75.3,47158,1355,17,,,,Arkansas,Chicot,9873,,TRUE
Arkansas,Clay,39,6.3,31,1142,14,18,61,73,41419,960,17,,,,Arkansas,Clark,21250,,TRUE
Arkansas,Cleburne,37,6.9,29,1719,13,17,36,75.2,50200,1374,19,,,,Arkansas,Clay,14265,,TRUE
Arkansas,Cleveland,37,7.1,32,662,13,18,1,75.1,53705,453,17,,,,Arkansas,Cleburne,25284,,TRUE
Arkansas,Columbia,40,6.4,33,2114,14,18,52,73.9,44651,1456,15,,,,Arkansas,Cleveland,7467,,TRUE
Arkansas,Conway,39,6.2,31,2074,14,18,46,75.3,47741,1197,17,,,,Arkansas,Columbia,22216,,TRUE
Arkansas,Craighead,40,6.6,29,8798,12,17,60,76.1,52490,7453,17,,,,Arkansas,Conway,21046,,TRUE
Arkansas,Crawford,36,6.3,31,8168,13,18,65,76.4,54065,5534,16,,,,Arkansas,Craighead,113017,,TRUE
Arkansas,Crittenden,47,6.4,34,5407,14,18,77,72.2,43821,3083,14,,,,Arkansas,Crawford,61075,,TRUE
Arkansas,Cross,41,6.1,33,2600,14,18,72,72.1,45262,1033,16,,,,Arkansas,Crittenden,47061,,TRUE
